[DEBUG] 2019-10-16 03:38:58.152 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2019-10-16 03:38:58.167 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2019-10-16 03:38:58.179 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2019-10-16 03:38:58.406 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2019-10-16 03:38:58.413 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2019-10-16 03:38:59.048 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2019-10-16 03:38:59.050 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2019-10-16 03:38:59.071 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2019-10-16 03:38:59.702 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2019-10-16 03:38:59.733 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2019-10-16 03:38:59.735 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2019-10-16 03:38:59.764 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2019-10-16 03:38:59.861 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@243f003c
[DEBUG] 2019-10-16 03:38:59.861 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@243f003c
[DEBUG] 2019-10-16 03:38:59.861 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@243f003c
[DEBUG] 2019-10-16 03:38:59.862 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@68f32020
[DEBUG] 2019-10-16 03:38:59.863 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@53dad875
[DEBUG] 2019-10-16 03:38:59.866 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@2b329bbd
[DEBUG] 2019-10-16 03:38:59.867 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6d2dc9d2
[DEBUG] 2019-10-16 03:38:59.868 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6d2dc9d2
[DEBUG] 2019-10-16 03:38:59.868 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6d2dc9d2
[DEBUG] 2019-10-16 03:38:59.871 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@30a7c98f
[DEBUG] 2019-10-16 03:38:59.872 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@30a7c98f
[DEBUG] 2019-10-16 03:38:59.872 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@30a7c98f
[DEBUG] 2019-10-16 03:38:59.878 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@8b91134
[DEBUG] 2019-10-16 03:38:59.878 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@8b91134
[DEBUG] 2019-10-16 03:38:59.878 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@8b91134
[DEBUG] 2019-10-16 03:38:59.879 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@736048ed
